id,EAP,HPL,MWS
id24283,0.733892,0.217124,0.0490133
id15234,0.990331,0.00333737,0.00636177
id16884,0.0498689,0.818121,0.13204
id07831,0.375939,0.144956,0.479135
id16038,0.950288,0.0415357,0.00820664
id03629,0.949926,0.0267969,0.023307
id21019,0.991904,0.00201657,0.00610935
id21835,0.723292,0.241058,0.0356801
id04480,0.38409,0.562675,0.053265
id20838,0.628248,0.263408,0.108374
id24195,0.747673,0.0263409,0.226016
id05448,0.602627,0.348333,0.0490699
id15957,0.00812545,0.968849,0.0230557
id19956,0.0821299,0.00314122,0.914759
id15104,0.0233043,0.0248528,0.951873
id17559,0.924959,0.0340096,0.0410615
id16839,0.129964,0.0407085,0.829357
id14493,0.577419,0.0523668,0.370244
id08833,0.718598,0.0187308,0.262701
id15723,0.561344,0.000166192,0.43852
id02716,0.836643,0.0273934,0.135993
id06689,0.106004,0.836122,0.0579038
id18837,0.532843,0.00766836,0.459519
id04466,0.807939,0.137488,0.0546025
id00686,0.745803,0.0971421,0.157085
id09010,0.142266,0.814126,0.0436374
id23353,0.978815,0.000971907,0.0202434
id00066,0.935527,0.0295702,0.0349332
id15724,0.282503,0.496558,0.220969
id23486,0.305088,0.0310679,0.663874
id22258,0.058752,0.0777532,0.863525
id02292,0.910274,0.0437863,0.0459693
id16356,0.288209,0.162775,0.549047
id00235,0.770398,0.0788957,0.150736
id25522,0.087991,0.0333426,0.878697
id04204,0.253518,0.690681,0.0558315
id22016,0.800785,0.00160159,0.197644
id06480,0.0814423,0.867819,0.050769
id08718,0.724504,0.00436607,0.27116
id05251,0.150765,0.800831,0.0484347
id03359,0.140886,0.595065,0.26408
id16117,0.102948,0.0369135,0.860169
id17000,0.00600599,0.973727,0.020297
id01730,0.151579,0.732018,0.116434
id00630,0.971211,0.0228822,0.00593675
id18175,0.554885,0.0429304,0.402215
id00907,0.370358,0.216433,0.413239
id18251,0.04524,0.9396,0.0151899
id25861,0.91719,0.0534664,0.0293736
id00398,0.763502,0.181209,0.0553191
id27573,0.661343,0.0836686,0.255018
id10022,0.107281,0.388372,0.504377
id15901,0.312355,0.00385374,0.683821
id00451,0.117209,0.150269,0.732552
id23129,0.110618,0.836599,0.0528128
id26498,0.375432,0.171975,0.452623
id14741,0.747501,0.187961,0.0645679
id18453,0.381336,0.0794964,0.539198
id08309,0.628585,0.345638,0.0258075
id00320,0.734349,0.185335,0.080346
id07688,0.214417,0.318954,0.466659
id01556,0.0252842,0.00965647,0.965089
id00178,0.468508,0.210081,0.321441
id18902,0.0348516,0.287838,0.67734
id27002,0.103204,0.89678,4.62167e-05
id21418,0.963235,0.0178097,0.0189849
id23018,0.0270074,0.217302,0.755721
id07032,0.255678,0.0599832,0.684369
id16195,0.567574,0.176392,0.256065
id11202,0.285696,0.469409,0.244924
id09578,0.849522,0.00575374,0.144755
id26984,0.797764,0.00392357,0.198343
id19856,0.141995,0.812008,0.046027
id12086,0.233418,0.128569,0.638043
id12052,0.148224,0.00268248,0.849123
id17728,0.0801358,0.274457,0.645437
id24608,0.327753,0.178764,0.493513
id21097,0.165986,0.179748,0.654296
id20179,0.0460872,0.467477,0.486466
id15144,0.596083,0.0277985,0.376149
id00206,0.897823,0.0610289,0.0411786
id22285,0.805431,0.118572,0.0760264
id06417,0.450936,0.417059,0.132035
id00215,0.072011,0.911774,0.0162451
id04201,0.0736643,0.253277,0.673089
id21771,0.785359,0.0989415,0.115729
id12451,0.307621,0.262143,0.430266
id14250,0.306138,0.549871,0.144021
id03433,0.39719,0.199674,0.403165
id03303,0.0239472,0.00176238,0.97432
id25901,0.0808652,0.190446,0.728718
id06945,0.624152,0.209632,0.166246
id05664,0.94544,0.0214539,0.0331356
id05741,0.921659,0.042733,0.035638
id10652,0.891338,0.0764619,0.0322301
id16300,0.615275,0.141718,0.243037
id12319,0.702619,0.112142,0.185269
id07500,0.0791782,0.848379,0.0724726
id12478,0.0316197,0.0804413,0.887969
id03076,0.440407,0.00383437,0.555788
id00969,0.405961,0.497591,0.0964785
id23636,0.0286036,0.960513,0.0109133
id09791,0.029632,0.246059,0.724339
id05680,0.186552,0.675003,0.138475
id03672,0.023003,0.910491,0.066536
id04286,0.00847815,0.862074,0.129478
id23883,0.317748,0.211437,0.470845
id11914,0.493932,0.0146533,0.491445
id20974,0.144671,0.828228,0.0271308
id26125,0.668399,0.0267161,0.304915
id15543,0.173501,0.0350326,0.791497
id19471,0.893557,0.0823376,0.0241357
id11503,0.649389,0.219877,0.130765
id09321,0.120985,0.485987,0.393058
id25560,0.0196646,0.0814229,0.898943
id06726,0.055576,0.145911,0.798543
id05709,0.97072,0.000329899,0.0289797
id09788,0.0473335,0.565176,0.38752
id05289,0.655375,0.323009,0.0216453
id11815,0.0190502,0.975585,0.00539435
id22422,0.651294,0.111301,0.237435
id25954,0.399704,0.361901,0.238424
id13601,0.856061,0.0563216,0.0876478
id05677,0.605043,0.044982,0.350005
id10498,0.405867,0.50929,0.0848725
id02665,0.390583,0.398787,0.21066
id10114,0.091304,0.469188,0.439538
id26314,0.937495,0.0203467,0.0421887
id21240,0.229207,0.0887287,0.682094
id15569,0.934117,0.0414995,0.0244135
id25928,0.622313,0.0729083,0.304809
id22706,0.281655,0.637012,0.0813636
id20877,0.00414796,0.969429,0.0264526
id04318,0.740659,0.0158098,0.243562
id18299,0.488426,0.0446328,0.466971
id08126,0.108197,0.0375479,0.854285
id14293,0.71424,0.0494531,0.236337
id12759,0.869354,0.00112948,0.129547
id11983,0.284147,0.643489,0.0723938
id05580,0.300948,0.478419,0.220663
id25846,0.31995,0.57756,0.10252
id01939,0.270756,0.1381,0.591174
id26327,0.412885,0.271667,0.315478
id11068,0.0172013,2.30443e-05,0.982806
id08404,0.87047,0.0794943,0.0500658
id27189,0.801483,0.116898,0.0816486
id15119,0.0796464,0.718403,0.20198
id26525,0.951367,0.0126852,0.0359776
id03618,0.275648,0.654023,0.0703589
id27220,0.241683,0.530643,0.227705
id18777,0.373911,4.26609e-05,0.626076
id20213,0.993856,0.00440697,0.00176738
id20403,0.875523,0.0223494,0.102158
id03777,0.388144,0.204097,0.407788
id10595,0.528009,0.296884,0.175137
id13816,0.616855,0.0800183,0.303156
id05667,0.432745,0.0050774,0.562208
id24629,0.948971,0.00672828,0.044331
id20398,0.26843,0.0330596,0.69854
id14108,0.137951,0.00926541,0.852813
id06196,0.0448028,0.922547,0.0326804
id02800,0.346575,0.525379,0.128076
id18732,0.0418093,0.815885,0.142336
id11915,0.0146081,0.954512,0.0309097
id09739,0.699079,0.274817,0.0261342
id24672,0.690831,0.121803,0.187397
id00414,0.0625756,0.054228,0.883226
id16307,0.910232,0.0367131,0.0530849
id14043,0.191727,0.0282799,0.780023
id00517,0.0413482,0.0117414,0.94694
id09744,0.433211,0.481102,0.0857173
id19257,0.976596,0.0107122,0.0127218
id15437,0.691214,0.263911,0.0449056
id16352,0.0214967,0.0332797,0.945254
id18849,0.201959,0.0326928,0.765378
id19434,0.007839,0.988804,0.00338716
id17928,0.415055,0.128368,0.456607
id16896,0.0216354,0.180592,0.797803
id02135,0.0629165,0.742087,0.195027
id15075,0.954279,0.0280234,0.0177275
id27486,0.378578,0.521783,0.0996697
id19422,0.888017,0.0963858,0.0156275
id09603,0.314132,0.58831,0.0975878
id02133,0.161124,0.685307,0.153599
id03441,0.712062,0.0136062,0.274362
id02398,0.122016,0.831515,0.0464991
id05152,0.140753,0.0176646,0.841613
id17838,0.94984,0.02158,0.0286102
id25060,0.468473,0.2453,0.286257
id09998,0.256089,0.100266,0.643674
id01828,0.0801703,0.616243,0.303616
id25377,0.508285,0.362801,0.128944
id22175,0.0706709,0.88799,0.0413693
id02974,0.320461,0.0848574,0.594711
id26955,0.84727,0.128877,0.0238839
id21091,0.746273,0.0165507,0.237206
id12802,0.953473,0.0319422,0.0146144
id07432,0.118342,0.719262,0.162426
id18749,0.0633277,0.8477,0.0890021
id15030,0.0160754,0.021293,0.962662
id17155,0.165008,0.665252,0.169771
id08128,0.0382793,0.798852,0.162899
id25706,0.210689,0.484686,0.304654
id15645,0.987904,0.00736641,0.00475961
id04943,0.501115,0.384268,0.114646
id27566,0.272387,0.185777,0.541866
id11765,0.272664,0.206243,0.521123
id13783,0.696117,0.169791,0.134123
id00492,0.131562,0.0210205,0.847448
id27636,0.485848,0.0462468,0.467935
id04273,0.371998,0.323273,0.304759
id02537,0.14577,0.0283536,0.825907
id24349,0.515708,0.447623,0.0366997
id00023,0.0173876,0.953008,0.0296343
id23025,0.439324,0.289976,0.27073
id08722,0.536075,0.0684624,0.395493
id02420,0.957194,0.0413871,0.00144877
id10811,0.810033,0.0456274,0.14437
id04019,0.207935,0.218602,0.573493
id18334,0.992521,0.00522836,0.00228037
id16781,0.993569,0.00130403,0.00515682
id08773,0.775252,0.166447,0.0583307
id19214,0.712739,0.119884,0.167407
id09589,3.5675e-05,0.999286,0.000708784
id24246,0.902495,0.0519902,0.0455446
id23577,0.968792,0.0301729,0.00106532
id09305,0.955136,0.000426927,0.0444671
id16460,0.58547,0.290294,0.124267
id21115,0.757752,0.0981003,0.144178
id25996,0.434384,0.111832,0.453814
id02551,0.0715097,0.123025,0.805495
id19352,0.181863,0.102291,0.715876
id03806,0.0684898,0.0118926,0.919648
id26544,0.961583,0.000728255,0.0377187
id18761,0.393905,0.216894,0.38923
id24148,0.106505,0.834302,0.0592228
id16095,0.0331183,0.714508,0.252403
id18442,0.435684,0.432336,0.13201
id22596,0.0185042,0.0131448,0.968381
id23002,0.0563954,0.0168739,0.926761
id04797,0.875635,0.062323,0.0620725
id06610,0.185633,0.040869,0.773528
id16173,0.977573,0.00287202,0.0195852
id18292,0.0601507,0.153561,0.786319
id27328,0.92564,0.0141025,0.0602879
id01695,0.0108162,0.964407,0.024807
id05761,0.381056,0.0649211,0.554053
id16354,0.839362,0.0301546,0.130513
id12207,0.166535,0.506858,0.326637
id05665,0.224716,0.110759,0.664555
id01911,0.955904,0.0191267,0.0249991
id19153,0.300762,0.0547382,0.64453
id10295,0.327606,0.198325,0.474099
id23038,0.309982,0.245101,0.444947
id23783,0.36377,0.523082,0.113177
id27879,0.82245,0.158015,0.0195651
id19190,0.098706,0.773757,0.127567
id05065,0.514019,0.124985,0.361025
id21296,0.466701,0.45877,0.0745591
id13262,0.0365487,0.00734101,0.95614
id10333,0.624445,0.244743,0.130841
id16677,0.655064,0.177137,0.167829
id01392,0.489795,0.122389,0.387846
id27874,0.998418,0.0014608,0.000151161
id02294,0.989923,0.00346435,0.00664304
id18298,0.208412,0.504103,0.287515
id06997,0.936411,0.0248345,0.0387841
id05243,0.944419,0.0102958,0.0453153
id00860,0.0526244,0.870818,0.0765876
id26681,0.758033,0.177526,0.0644704
id06020,0.191043,0.0754282,0.733558
id27683,0.43462,0.214709,0.350702
id17655,0.3516,0.483482,0.164948
id08817,0.126487,0.0353866,0.838156
id11512,0.00558853,0.100045,0.894397
id00478,0.526367,0.14659,0.327073
id02116,0.782857,0.16448,0.0526931
id06746,0.593644,0.154823,0.251563
id03863,0.179579,0.173151,0.647299
id01802,0.183541,0.115138,0.701351
id11682,0.785378,0.0769367,0.137715
id04033,0.0989067,0.863818,0.0373052
id09286,0.129486,0.655363,0.215181
id12904,0.432879,0.193045,0.374106
id07420,0.0366679,0.0170104,0.946352
id22398,0.0366564,0.949946,0.0134279
id00424,0.30281,0.0695982,0.627622
id20960,0.829704,0.0950866,0.0752392
id10267,0.000372862,0.999592,6.53196e-05
id19330,0.311792,0.180622,0.507616
id00994,0.0129675,0.927773,0.0592894
id10785,0.372415,0.525195,0.102421
id00955,0.303783,0.351899,0.344348
id09757,0.00379623,0.967473,0.0287606
id10030,0.124054,0.0568365,0.81914
id22952,0.160141,0.120513,0.719377
id21955,0.00634306,0.0531924,0.940495
id07674,0.0950977,0.858866,0.0460666
id13760,0.690522,0.201156,0.108352
id18166,0.793042,0.072788,0.1342
id23498,0.0597229,0.886219,0.0540885
id05296,0.995322,0.00184172,0.00286649
id26709,0.540202,0.369281,0.0905473
id02853,0.985102,0.01168,0.0032481
id06800,0.799518,0.0512151,0.149297
id14758,0.475328,0.438974,0.0857284
id12356,0.972375,0.0123383,0.0153165
id21492,0.829978,0.157632,0.0124192
id27540,0.601169,0.259948,0.138913
id07376,0.157715,0.148325,0.69399
id15201,0.53604,0.227238,0.236752
id23388,0.0158275,0.83158,0.152623
id13923,0.0348592,0.946766,0.0184052
id00794,0.0124609,0.912594,0.0749752
id23910,0.335985,0.130296,0.53375
id02556,0.123203,0.13928,0.737547
id22151,0.0334089,0.946894,0.0197274
id11698,0.00509683,0.987846,0.0070868
id11627,0.466027,0.243816,0.290187
id06340,0.899121,0.0209614,0.0799475
id05123,0.994665,5.93671e-05,0.00530567
id26620,0.0200337,0.00178827,0.978208
id04002,0.141252,0.149377,0.709401
id26554,0.0101187,0.648987,0.340924
id18012,0.193761,0.476605,0.329664
id12964,0.0551484,0.0228279,0.922054
id18965,0.00852466,0.513303,0.478203
id19082,0.541305,0.0660793,0.392645
id26742,0.150316,0.010239,0.839475
id15442,0.575305,0.17648,0.248245
id16647,0.612522,0.0221797,0.365328
id11544,0.353256,0.233952,0.412822
id20581,0.773747,0.0190001,0.207283
id13192,0.177957,0.810639,0.0114343
id15814,0.414315,0.0787191,0.506996
id26279,0.415131,0.522718,0.0621803
id00240,0.762754,0.0504481,0.186828
id22836,0.909661,0.0301984,0.060171
id15085,0.030826,0.768267,0.200937
id17495,0.956522,0.00360717,0.0399007
id26762,0.682647,0.00351475,0.313868
id13685,0.979955,0.00569523,0.0143793
id16560,0.1806,0.723749,0.0956807
id17184,0.0260562,0.698075,0.275899
id21635,0.901253,0.0525464,0.0462304
id26751,0.0656888,0.564963,0.369378
id12351,0.911813,0.0149923,0.0732247
id14872,0.759105,0.204361,0.0365647
id18372,0.797653,0.0466579,0.155719
id26851,0.896024,0.0355054,0.0685001
id22659,0.482483,0.444069,0.073478
id04102,0.187472,0.0319445,0.780613
id02353,0.0140024,0.945288,0.04074
id26721,0.666331,0.237055,0.0966442
id11171,0.868114,0.0809815,0.0509343
id13562,0.916174,0.0643476,0.0195082
id26425,0.952291,0.0153979,0.032341
id26394,0.105753,0.396771,0.497506
id22187,0.766166,0.101952,0.131912
id00422,0.799573,0.146746,0.0537118
id22667,0.0804682,0.881367,0.0381949
id00911,0.591852,0.113907,0.294271
id17291,0.810904,0.0538509,0.135275
id01915,0.132642,0.445433,0.421955
id01434,0.187566,0.0631185,0.749345
id01584,0.959549,0.0050766,0.0354045
id09266,0.400819,0.293288,0.305922
id17494,0.00241746,0.974534,0.0230781
id24919,0.973843,0.0124981,0.0136889
id21043,0.440134,0.0196285,0.540268
id17796,0.232857,0.724708,0.0424648
id02166,0.601492,0.0168638,0.381674
id17503,0.757283,0.141654,0.101094
id21203,0.99579,0.000975467,0.0032643
id25626,0.811826,0.113448,0.0747563
id09836,0.956611,0.0278949,0.015524
id24202,0.244288,0.400744,0.354998
id27260,0.457881,0.015735,0.526414
id23167,0.0491495,0.0146582,0.936222
id10393,6.59989e-05,0.999941,2.33503e-05
id01171,0.945865,0.0271399,0.0270254
id06380,0.891386,0.0325175,0.0761268
id22686,0.199702,0.0343928,0.765935
id26250,0.837768,0.0163785,0.145883
id09315,0.10196,0.803107,0.0949638
id00886,0.0753394,0.835304,0.0893861
id03101,0.671744,0.20167,0.126616
id12367,0.910444,0.00475549,0.0848306
id10770,0.930033,0.0308065,0.0391905
id14949,0.349216,0.565726,0.0850883
id14141,0.24835,0.712971,0.0387087
id25417,0.156243,0.784109,0.059678
id26873,0.743959,0.191848,0.0642232
id10818,0.152133,0.0772115,0.770686
id15146,0.990642,0.005487,0.00390121
id23328,0.785687,0.110687,0.103656
id16765,0.634091,0.246147,0.119792
id24383,0.927595,0.00909044,0.0633451
id21304,0.983009,0.011076,0.00594488
id12551,0.169786,0.60142,0.228824
id23274,0.202463,0.28037,0.517197
id08117,0.986584,0.0106896,0.00275684
id23961,0.711657,0.0139605,0.274413
id13865,0.507896,0.428601,0.0635326
id22807,0.512072,0.112659,0.375299
id08951,0.0141695,9.63339e-05,0.985764
id18684,0.958948,0.0079477,0.0331347
id25179,0.318808,0.593002,0.0882198
id27033,0.809585,0.0748019,0.115643
id13977,0.394191,0.256095,0.349744
id19337,0.0261233,0.88026,0.0936466
id25764,0.0861337,0.887501,0.0263956
id16106,0.378071,0.210457,0.411503
id05468,0.629899,0.0208647,0.349267
id05241,0.808798,0.00173377,0.189498
id10215,0.690322,0.131938,0.17777
id23457,0.267273,0.0885556,0.644201
id02200,0.662258,0.17859,0.159182
id13714,0.449596,0.227647,0.322787
id20332,0.0456989,0.0728404,0.881491
id18573,0.19601,0.138542,0.665477
id08569,0.60647,0.0884452,0.305115
id22767,0.385767,0.222409,0.391854
id25390,0.162437,0.639432,0.198161
id09288,0.865341,0.0498254,0.0848637
id12381,0.963926,0.0331316,0.00297217
id02895,0.504209,0.0287081,0.467113
id25270,0.147162,0.0589036,0.793964
id14248,0.299185,0.00130227,0.699542
id12831,0.781495,0.0389036,0.179631
id18305,0.789544,0.0812655,0.12922
id07805,0.905631,0.0714757,0.0229234
id14027,0.167481,0.114943,0.717606
id02760,0.985641,0.0139186,0.000470635
id24362,0.974729,0.0163076,0.00899353
id17065,0.0975621,0.862722,0.0397454
id26583,0.5252,0.32358,0.151251
id19664,0.78104,0.131303,0.0876866
id25145,0.960156,0.0377582,0.0021153
id17858,0.0826569,0.806219,0.111154
id05148,0.283555,0.073855,0.64262
id22928,0.902439,0.0602908,0.0372998
id21549,0.541363,0.0439343,0.414733
id12649,0.347867,0.616377,0.035786
id21597,0.97613,0.00632638,0.0175737
id27945,0.514163,0.283313,0.202554
id00243,0.987134,0.00207568,0.0108199
id02745,0.854943,0.0828681,0.0622185
id23550,0.0983626,0.0327167,0.868951
id13023,0.276046,0.0817605,0.642224
id24796,0.151086,0.103369,0.745574
id12284,0.121221,0.681167,0.197642
id02664,0.00721787,0.930664,0.062148
id23767,0.473358,0.154865,0.371807
id05859,0.335238,0.448117,0.216674
id14350,0.402229,0.339886,0.257915
id01191,0.106501,0.646706,0.246823
id17034,0.771683,0.0322342,0.196113
id25292,0.342723,0.273772,0.383535
id22121,0.83039,0.114792,0.0548478
id20872,0.999821,6.7257e-05,0.000141528
id17720,0.142981,0.809803,0.0472463
id22658,0.0546506,0.901628,0.0437513
id09567,0.341344,0.534701,0.123985
id16445,0.812314,0.0614257,0.126291
id08349,0.0724045,0.0247036,0.902922
id27437,0.0346089,0.685938,0.279483
id03812,0.595533,0.11937,0.285127
id22304,0.951377,0.0332137,0.0154392
id04449,0.501216,0.424391,0.074423
id15605,0.36508,0.290165,0.344785
id01768,0.861716,0.0857184,0.0525961
id20019,0.12143,0.850635,0.0279651
id09593,0.0104566,0.979704,0.00986905
id23179,0.582286,0.138347,0.279397
id21279,0.894881,0.0201495,0.0849992
id06711,0.0242754,0.00800505,0.96775
id14243,0.0564296,0.875442,0.0681581
id04839,0.00771433,0.630092,0.362223
id17220,0.145396,0.805593,0.0490413
id24177,0.51472,0.0938439,0.391466
id20512,0.300456,0.0782613,0.621312
id14036,0.015149,0.947878,0.0370034
id25001,0.465173,0.0143099,0.520548
id06175,0.160296,0.558681,0.281052
id24720,0.235377,0.737479,0.0271733
id08070,0.234068,0.756728,0.00923403
id18934,0.762405,0.198332,0.0392939
id01338,0.676794,0.11567,0.207566
id19008,0.0201589,0.900582,0.0792895
id19632,0.298982,0.316123,0.384925
id26224,0.0278801,0.198997,0.773153
id08219,0.924152,0.0260854,0.0497928
id24008,0.0221252,0.00530505,0.9726
id12475,0.103765,0.82565,0.0706151
id05766,0.960236,0.0189044,0.0208896
id27386,0.00587653,0.951978,0.0421754
id12476,0.0141537,0.974222,0.011654
id08311,0.763,0.194614,0.0424161
id04996,0.978416,0.018469,0.00314492
id17350,0.102447,0.739745,0.157838
id05546,0.22904,0.676585,0.0944055
id16504,0.22931,0.501936,0.268784
id05782,0.000245795,0.00103538,0.998749
id20560,0.823436,0.0152569,0.161337
id14171,0.073531,0.0683933,0.858106
id27461,0.00804086,0.000699116,0.99129
id03581,0.183768,0.00990596,0.806356
id21847,0.211473,0.103114,0.685442
id11712,0.561368,0.0359124,0.40275
id26738,0.0198003,0.0238616,0.956368
id13668,0.773198,0.0820927,0.144739
id15114,0.896829,0.0197755,0.0834259
id20130,0.973318,0.00362756,0.0230847
id18331,0.445678,0.232443,0.32191
id24465,0.965736,0.0162882,0.0180056
id13539,0.748534,0.0831509,0.168345
id27564,0.545984,0.349725,0.104321
id26043,0.533381,0.0462949,0.420354
id04965,2.09348e-05,0.000254271,0.999755
id08645,0.333662,0.207566,0.458802
id26610,0.252004,0.00676429,0.741261
id21737,0.877051,0.0963602,0.0266183
